,Id,title,link,year,authors,citations,abstract
10,10,An Improved SVM-Based Spatial Spectrum Sensing Scheme via Beamspace at Low SNRs,/document/8936368/,2019,"['Yihao Qi', 'Yong Wang', 'Chengzhe Lai']",1,
11,11,Opportunistic Relay in Multicast Channels With Generalized Shadowed Fading Effects: A Physical Layer Security Perspective,/document/9615217/,2021,"['S. M. Saumik Shahriyer', 'A. S. M. Badrudduza', 'Sarjana Shabab', 'Milton Kumar Kundu', 'Heejung Yu']",1,"Through ordinary transmissions over wireless multicast networks are greatly hampered due to the simultaneous presence of fading and shadowing of wireless channels, secure transmissions can be enhanced by properly exploiting random attributes of the propagation medium. This study focuses on the utilization of those attributes to enhance the physical layer security (PLS) performance of a dual-hop wireless multicast network over 
 κ−μ\kappa -\mu  
 shadow-fading channel under the wiretapping attempts of multiple eavesdroppers. In order to improve the secrecy level, the best relay selection strategy among multiple relays is employed. Performance analysis is carried out based on the mathematical modeling in terms of analytical expressions of non-zero secrecy capacity probability, secure outage probability, and ergodic secrecy capacity over multicast relay networks. Capitalizing on those expressions, the effects of system parameters, i.e., fading, shadowing, the number of antennas, destination receivers, eavesdroppers, and relays, on the secrecy performance are investigated. Numerical results show that the detrimental impacts caused by fading and shadowing can be remarkably mitigated using the well-known opportunistic relaying technique. Moreover, the proposed model unifies secrecy analysis of several classical models, thereby exhibiting enormous versatility than the existing works. Finally, all the numerical results are authenticated utilizing Monte-Carlo simulations."
12,12,Advances in Adversarial Attacks and Defenses in Computer Vision: A Survey,/document/9614158/,2021,"['Naveed Akhtar', 'Ajmal Mian', 'Navid Kardan', 'Mubarak Shah']",1,"Deep Learning is the most widely used tool in the contemporary field of computer vision. Its ability to accurately solve complex problems is employed in vision research to learn deep neural models for a variety of tasks, including security critical applications. However, it is now known that deep learning is vulnerable to adversarial attacks that can manipulate its predictions by introducing visually imperceptible perturbations in images and videos. Since the discovery of this phenomenon in 2013, it has attracted significant attention of researchers from multiple sub-fields of machine intelligence. In 2018, we published the first-ever review of the contributions made by the computer vision community in adversarial attacks on deep learning (and their defenses). Many of those contributions have inspired new directions in this area, which has matured significantly since witnessing the first generation methods. Hence, as a legacy sequel of our first literature survey, this review article focuses on the advances in this area since 2018. We thoroughly discuss the first generation attacks and comprehensively cover the modern attacks and their defenses appearing in the prestigious sources of computer vision and machine learning research. Besides offering the most comprehensive literature review of adversarial attacks and defenses to date, the article also provides concise definitions of technical terminologies for the non-experts. Finally, it discusses challenges and future outlook of this direction based on the literature since the advent of this research direction."
13,13,Multicriteria Classifier Ensemble Learning for Imbalanced Data,/document/9706443/,2022,"['Weronika Węgier', 'Michał Koziarski', 'Michał Woźniak']",0,"One of the vital problems with the imbalanced data classifier training is the definition of an optimization criterion. Typically, since the exact cost of misclassification of the individual classes is unknown, combined metrics and loss functions that roughly balance the cost for each class are used. However, this approach can lead to a loss of information, since different trade-offs between class misclassification rates can produce similar combined metric values. To address this issue, this paper discusses a multi-criteria ensemble training method for the imbalanced data. The proposed method jointly optimizes 
precision
 and 
recall
, and provides the end-user with a set of Pareto optimal solutions, from which the final one can be chosen according to the user’s preference. The proposed approach was evaluated on a number of benchmark datasets and compared with the single-criterion approach (where the selected criterion was one of the chosen metrics). The results of the experiments confirmed the usefulness of the obtained method, which on the one hand guarantees good quality, i.e., not worse than the one obtained with the use of single-criterion optimization, and on the other hand, offers the user the opportunity to choose the solution that best meets their expectations regarding the trade-off between errors on the minority and the majority class."
14,14,Autonomous Control of Combat Unmanned Aerial Vehicles to Evade Surface-to-Air Missiles Using Deep Reinforcement Learning,/document/9301300/,2020,"['Gyeong Taek Lee', 'Chang Ouk Kim']",0,"This paper proposes a new reinforcement learning approach for executing combat unmanned aerial vehicle (CUAV) missions. We consider missions with the following goals: guided missile avoidance, shortest-path flight and formation flight. For reinforcement learning, the representation of the current agent state is important. We propose a novel method of using the coordinates and angle of a CUAV to effectively represent its state. Furthermore, we develop a reinforcement learning algorithm with enhanced exploration through amplification of the imitation effect (AIE). This algorithm consists of self-imitation learning and random network distillation algorithms. We assert that these two algorithms complement each other and that combining them amplifies the imitation effect for exploration. Empirical results show that the proposed AIE approach is highly effective at finding a CUAV's shortest-flight path while avoiding enemy missiles. Test results confirm that with our method, a single CUAV reaches its target from its starting point 95% of the time and a squadron of four simultaneously operating CUAVs reaches the target 70% of the time."
15,15,Energy-Saving Algorithm and Simulation of Wireless Sensor Networks Based on Clustering Routing Protocol,/document/8913514/,2019,['Wei He'],12,
16,16,Toward Performing Image Classification and Object Detection With Convolutional Neural Networks in Autonomous Driving Systems: A Survey,/document/9696317/,2022,"['Tolga Turay', 'Tanya Vladimirova']",0,"Nowadays Convolutional Neural Networks (CNNs) are being employed in a wide range of industrial technologies for a variety of sectors, such as medical, automotive, aviation, agriculture, space, etc. This paper reviews the state-of-the-art in both the field of CNNs for image classification and object detection and Autonomous Driving Systems (ADSs) in a synergetic way. Layer-based details of CNNs along with parameter and floating-point operation number calculations are outlined. Using an evolutionary approach, the majority of the outstanding image classification CNNs, published in the open literature, is introduced with a focus on their accuracy performance, parameter number, model size, and inference speed, highlighting the progressive developments in convolutional operations. Results of a novel investigation of the convolution types and operations commonly used in CNNs are presented, including a timing analysis aimed at assessing their impact on CNN performance. This extensive experimental study provides new insight into the behaviour of each convolution type in terms of training time, inference time, and layer level decomposition. Building blocks for CNN-based object detection are also discussed, such as backbone networks and baseline types, and then representative state-of-the-art designs are outlined. Experimental results from the literature are summarised for each of the reviewed models. This is followed by an overview of recent ADSs related works and current industry activities, aiming to bridge academic research and industry practice on CNNs and ADSs. Design approaches targeted at solving problems of automakers in achieving real-time implementations are also proposed based on a discussion of design constraints, human vs. machine evaluations and trade-off analysis of accuracy vs. size. Current technologies, promising directions, and expectations from the literature on ADSs are introduced including a comprehensive trade-off analysis from a human-machine perspecti..."
17,17,Detection of Application Layer DDoS Attack Based on SIS Epidemic Model,/document/9632565/,2021,"['Dalia Nashat', 'S. Khairy', 'Montaser M. Hassan']",0,"Distrusted Denial of Service attack (DDoS) is one of the major threats to network security. The HTTP flooding attack is the hardest type of DDoS attacks to detect since the malicious packets are hidden in a huge amount of normal traffic. In this work, we introduce a new detection scheme for HTTP flooding attack by using Susceptible-Infective-Susceptible (SIS) model of an infectious disease which used in dynamic systems. During any time interval, the server can measure various values of attributes for its users like number of total connections, number of open connections and number of closed connections. These values can be used to detect any abnormal behavior or infected connections in a server by mapping this attributes with SIS model. Thus we can get suspected and infected connections during every time interval. Extensive trace driven simulation has been conducted to demonstrate the efficiency of the proposed scheme in terms of its detection rate and probability of false positive."
18,18,Hiding Secret Messages in Living Cells in the Age of Next-Generation Sequencing,/document/8937535/,2019,['Mei Chen'],0,"Hiding secret messages (SMs) based on DNA technologies plays a critical role in DNA computing. In recent years, scientists have hidden SMs at a specific site in the plasmids of various living cells. Unfortunately, this strategy was proposed without considering the attack of next-generation sequencing (NGS). Nowadays, NGS, which is a revolutionary massively parallel sequencing technique, is developing rapidly. With the help of NGS, sequencing completely unknown genomes is becoming popular in various laboratories throughout the world. The ability to sequence completely unknown genomes is a major threat to existing hiding strategies in living cells. To prevent against the attack of NGS, this paper proposes a scheme to hide SMs in living cells (SHSM). Compared with previous studies, the main contribution of SHSM is changing the specific single hiding site into random multiple hiding sites through the application of seamless clustered regularly interspaced short palindromic repeats/CRISPR-associated9 (CRISPR/Cas9) technique. In SHSM, SMs are hidden in living cells with different puzzling messages at different sites every time to prevent against the attack of NGS. To read the SM, high-fidelity polymerase chain reaction (PCR) and Sanger sequencing are used. A hash function is used to ensure the integrity of the message. These measures mean that an attacker would not be able to determine the location of the SM using NGS. The feasibility of SHSM was validated by a wet-lab experiment, and the security was demonstrated by the system's entropy. The author hopes this study will bring attention to the threat of NGS, and advance the development of hiding SMs in living cells."
19,19,Vehicle-to-Grid Aggregator to Support Power Grid and Reduce Electric Vehicle Charging Cost,/document/8930487/,2019,"['Sid-Ali Amamra', 'James Marco']",48,"This paper presents an optimised bidirectional Vehicle-to-Grid (V2G) operation, based on a fleet of Electric Vehicles (EVs) connected to a distributed power system, through a network of charging stations. The system is able to perform day-ahead scheduling of EV charging/discharging to reduce EV ownership charging cost through participating in frequency and voltage regulation services. The proposed system is able to respond to real-time EV usage data and identify the required changes that must be made to the day-ahead energy prediction, further optimising the use of EVs to support both voltage and frequency regulation. An optimisation strategy is established for V2G scheduling, addressing the initial battery State Of Charge (SOC), EV plug-in time, regulation prices, desired EV departure time, battery degradation cost and vehicle charging requirements. The effectiveness of the proposed system is demonstrated using a standardized IEEE 33-node distribution network integrating five EV charging stations. Two case studies have been undertaken to verify the contribution of this advanced energy supervision approach. Comprehensive simulation results clearly show an opportunity to provide frequency and voltage support while concurrently reducing EV charging costs, through the integration of V2G technology, especially during on-peak periods when the need for active and reactive power is high."
20,20,A New Hybrid Cascaded Switched-Capacitor Reduced Switch Multilevel Inverter for Renewable Sources and Domestic Loads,/document/9691337/,2022,"['Mohammad Amin Rezaei', 'Majid Nayeripour', 'Jiefeng Hu', 'Shahab S. Band', 'Amir Mosavi', 'Mohammad-Hassan Khooban']",0,"This multilevel inverter type summarizes an output voltage of medium voltage based on a series connection of power cells employing standard configurations of low-voltage components. The main problems of cascaded switched-capacitor multilevel inverters (CSCMLIs) are the harmful reverse flowing current of inductive loads, the large number of switches, and the surge current of the capacitors. As the number of switches increases, the reliability of the inverter decreases. To address these issues, a new CSCMLI is proposed using two modules containing asymmetric DC sources to generate 13 levels. The main novelty of the proposed configuration is the reduction of the number of switches while increasing the maximum output voltage. Despite the many similarities, the presented topology differs from similar topologies. Compared to similar structures, the direction of some switches is reversed, leading to a change in the direction of current flow. By incorporating the lowest number of semiconductors, it was demonstrated that the proposed inverter has the lowest cost function among similar inverters. The role of switched-capacitor inrush current in the selection of switch, diode, and DC source for inverter operation in medium and high voltage applications is presented. The inverter performance to supply the inductive loads is clarified. Comparison of the simulation and experimental results validates the effectiveness of the proposed inverter topology, showing promising potentials in photovoltaic, buildings, and domestic applications. A video demonstrating the experimental test, and all manufacturing data are attached."
21,21,Entropy Method for Structural Health Monitoring Based on Statistical Cause and Effect Analysis of Acoustic Emission and Vibration Signals,/document/8915858/,2019,"['Kai Tao', 'Wei Zheng', 'Danchi Jiang']",1,"Acoustic emission (AE) and vibration signal are significant criteria of damage identification in structural health monitoring (SHM) engineering. Multi-disciplinary knowledge and synergistic parameter effects are technical challenges for damage assessment modelling. This study proposes a structural damage cause-and-effect analysis method based on parameter information entropy. Monitoring data is used to form a time-domain feature wave (TFW). The structural strength degradation factor (DF) would be used to define structural damage information entropy (SDIE) vector. The structural damage cause and effect model is developed in a probability sense. A fatigue index is adopted for damage assessment, and a causal strength index is proposed to locate the most likely damage cause. A sandstone-truss structure experiment was conducted to show that the proposed method is effective for damage evaluation and the experimental results provide strong support. This is a statistical damage identification method based on causal logic uncertainty, meaning a complicated mechanics calculation can be avoided."
22,22,Development of a Multi-Dimensional Parametric Model With Non-Pharmacological Policies for Predicting the COVID-19 Pandemic Casualties,/document/9294079/,2020,"['Onder Tutsoy', 'Adem Polat', 'Şule Çolak', 'Kemal Balikci']",5,"Coronavirus Disease 2019 (COVID-19) has spread the world resulting in detrimental effects on human health, lives, societies, and economies. The state authorities mostly take non-pharmacological actions against the outbreak since there are no confirmed vaccines or treatments yet. In this paper, we developed Suspicious-Infected-Death with Non-Pharmacological policies (SpID-N) model to analyze the properties of the COVID-19 casualties and also estimate the future behavior of the outbreak. We can state the key contributions of the paper with three folds. Firstly, we propose the SpID-N model covering the higher-order internal dynamics which cause the peaks in the casualties. Secondly, we parametrize the non-pharmacological policies such as the curfews on people with chronic disease, people age over 65, people age under 20, restrictions on the weekends and holidays, and closure of the schools and universities. Thirdly, we explicitly incorporate the internal and coupled dynamics of the model with these multi-dimensional non-pharmacological policies. The corresponding higher-order and strongly coupled model has utterly unknown parameters and we construct a batch type Least Square (LS) based optimization algorithm to learn these unknown parameters from the available data. The parametric model and the predicted future casualties are analyzed extensively."
23,23,Credit-Based Distributed Real-Time Energy Storage Sharing Management,/document/8938754/,2019,"['Hailing Zhu', 'Khmaies Ouahada']",6,"In this paper, energy storage sharing among a group of cooperative households with integrated renewable generations in a grid-connected microgrid is studied. In such a microgrid, a group of households, who are willing to cooperatively operate a shared energy storage via a central coordinator, aims to minimize their long term time-averaged costs, by jointly taking into account the operational constraints of the shared energy storage, the stochastic solar power generations and the time-varying load demands from all households, as well as the fluctuating electricity prices. This energy management problem, which comprises storage management and load control, is first formulated as a constrained stochastic programming problem. Based on the Lyapunov optimization theory, a distributed real-time sharing control algorithm is proposed to solve the constrained stochastic programming problem without requiring any statistical knowledge of the stochastic renewable energy generations and the uncertain power loads. The credit-based distributed sharing algorithm, in which each household independently solves a simple convex optimization problem without requiring any statistics of the system, is designed to quickly adapt to the system dynamics while facilitating a fair allocation of the shared energy storage with respect to individual households' energy contributions. The performance of the proposed low-complexity distributed sharing algorithm is evaluated via theoretical analysis. Numerical simulations using a practical system setup are conducted to investigate the effectiveness of the proposed sharing control algorithm in terms of energy cost saving and fairness. The simulation results show that the proposed credit-based distributed sharing algorithm can save power consumption cost by coordinating the use of the shared battery among households in a fair manner while improving the utilization of renewable energy generation."
24,24,On the Link Between Subjective Score Prediction and Disagreement of Video Quality Metrics,/document/9611244/,2021,"['Lohic Fotio Tiotsop', 'Florence Agboma', 'Glenn Van Wallendael', 'Ahmed Aldahdooh', 'Sebastian Bosse', 'Lucjan Janowski', 'Marcus Barkowsky', 'Enrico Masala']",0,"Several video quality metrics (VQMs) have been proposed in many publications to predict how humans perceive video quality. It is common to observe significant disagreements amongst the quality predictions of these VQMs for the same video sequence. Following an extensive literature search, we found no publicised work that has investigated if such disagreements convey useful information on the accuracy of VQMs. Herein, a measure for quantifying the disagreement between VQMs is proposed. A small-scale subjective study is carried out to assess the effectiveness of our proposal. In particular, the proposed disagreement measure is shown to be extremely effective in determining whether the quality of any given processed video sequence (PVS) can be accurately predicted by the VQMs. This type of information is particularly useful for identifying video sequences that are likely to degrade the end-user’s quality of experience (QoE). Our proposal is also useful in selecting the most effective PVSs to be employed in a subjective test. We show that the proposed disagreement measure can be effectively predicted from bitstream features. This establishes a link between the capability to accurately assess the quality of a PVS and the way it is encoded. In addition, an analysis is conducted to compare the performances of some well-known and widely used open-source metrics and two proprietary metrics. The two proprietary metrics are used by a large media company for enhancing its delivery pipeline. The outcome of this comparison highlights the suitability of the open-source VQM, Video Multi-method Assessment Fusion (VMAF), as a good benchmark quality measure for both the industrial and academic environments."
25,25,Selective Encryption of the Versatile Video Coding Standard,/document/9706210/,2022,"['Mousa Farajallah', 'Guillaume Gautier', 'Wassim Hamidouche', 'Olivier Déforges', 'Safwan El Assad']",0,"versatile video coding (VVC) is the next generation video coding standard developed by the joint video experts team (JVET) and released in July 2020. VVC introduces several new coding tools providing a significant coding gain over the high efficiency video coding (HEVC) standard. It is well known that increasing the coding efficiency adds more dependencies in the video bitstream making format-compliant encryption with the standard more challenging. In this paper we tackle the problem of selective encryption of the VVC standard in format-compliant and constant bitrate. These two constraints ensure that the encrypted bitstream can be decoded by any VVC decoder while the bitrate remains unchanged by the encryption. The selective encryption of all possible VVC syntax elements is investigated. A new algorithm is proposed to encrypt in format-compliant and constant bitrate the transform coefficients (TCs) together with other syntax elements at the level of the entropy encoder. The proposed solution was integrated and assessed under the VVC reference software model version 6.0. Experimental results showed that encryption drastically decreases the video quality while the encryption is robust against several types of attacks. The encryption space is estimated in the range of 15% to 26% of the bitstream size resulting in a lightweight encryption process. The web page of this work is publicly available at 
https://gugautie.github.io/sevvc/
."
26,26,Semantic Constraint GAN for Person Re-Identification in Camera Sensor Networks,/document/8926336/,2019,"['Shuang Liu', 'Tongzhen Si', 'Xiaolong Hao', 'Zhong Zhang']",2,
